Reference,Account Number,Description,Start Balance,Mutation,End Balance
133693,NL91RABO0315273637,Tickets for Peter Bakker,11.92,+32.58,44.5
112806,NL90ABNA0585647886,Subscription for Jan Dekker,64.27,+30.01,94.28
131024,NL43AEGO0773393871,Subscription from Richard King,36.46,-4.39,32.07
113646,NL27SNSB0917829871,Tickets for Rik Dekker,31.55,-11.6,19.95
112806,NL90ABNA0585647886,Clothes from Erik Bakker,87.32,+35.86,123.18
112806,NL90ABNA0585647886,Flowers for Jan de Vries,56.04,-3.16,52.88
116978,NL27SNSB0917829871,Subscription from Richard King,61.36,+20.88,82.24
199641,NL93ABNA0585619023,Flowers from Dani�l Theu�,103.64,-35.42,68.22
101499,NL56RABO0149876948,Clothes from Jan Bakker,46.19,-18.03,28.16
155761,NL32RABO0195610843,Candy for Rik King,41.28,-41.58,-0.3
